Domicile,2017/18,2018/19,2019/20,2020/21,2021/22,First year marker,Level of study,Mode of study,Country of HE provider
England,1607320.0,1616415.0,1627235.0,1774795.0,1807290.0,All,All,All,All
England,1538025.0,1546260.0,1555520.0,1696280.0,1726275.0,All,All,All,England
England,2810.0,3025.0,3075.0,2760.0,2560.0,All,All,All,Northern Ireland
England,26720.0,26715.0,26780.0,29520.0,30665.0,All,All,All,Scotland
England,39770.0,40415.0,41870.0,46235.0,47795.0,All,All,All,Wales
England,1228610.0,1237545.0,1252475.0,1353630.0,1372525.0,All,All,Full-time,All
England,1170730.0,1179040.0,1192780.0,1289445.0,1306740.0,All,All,Full-time,England
England,1530.0,1560.0,1640.0,1890.0,1670.0,All,All,Full-time,Northern Ireland
England,20815.0,20865.0,20915.0,22295.0,23255.0,All,All,Full-time,Scotland
England,35535.0,36080.0,37135.0,39995.0,40860.0,All,All,Full-time,Wales
England,378710.0,378870.0,374760.0,421165.0,434765.0,All,All,Part-time,All
England,367300.0,367215.0,362735.0,406830.0,419535.0,All,All,Part-time,England
England,1280.0,1465.0,1430.0,865.0,890.0,All,All,Part-time,Northern Ireland
England,5905.0,5850.0,5860.0,7225.0,7405.0,All,All,Part-time,Scotland
England,4230.0,4340.0,4730.0,6245.0,6935.0,All,All,Part-time,Wales
England,668345.0,669280.0,673920.0,766525.0,750030.0,First year,All,All,All
England,641830.0,642590.0,645765.0,733055.0,716895.0,First year,All,All,England
England,1355.0,1560.0,1560.0,1285.0,1170.0,First year,All,All,Northern Ireland
England,9690.0,9225.0,9490.0,11630.0,11630.0,First year,All,All,Scotland
England,15475.0,15900.0,17105.0,20555.0,20340.0,First year,All,All,Wales
England,491765.0,491865.0,503460.0,564195.0,559160.0,First year,All,Full-time,All
England,470785.0,471080.0,481695.0,538790.0,533195.0,First year,All,Full-time,England
England,605.0,635.0,675.0,855.0,705.0,First year,All,Full-time,Northern Ireland
England,7070.0,6625.0,6780.0,7770.0,8370.0,First year,All,Full-time,Scotland
