year,author,title,publisher,chair,judge_1,judge_2,judge_3,judge_4,judge_5,genre,country,winner
1969,P. H. Newby,Something to Answer For,Faber & Faber,n/a,David Farrer,Frank Kermode,Stephen Spender,Dame Rebecca West,W. L. Webb,Novel,United Kingdom,yes
1969,Barry England,Figures in a Landscape,NA,n/a,David Farrer,Frank Kermode,Stephen Spender,Dame Rebecca West,W. L. Webb,NA,NA,no
1969,Nicholas Mosley,The Impossible Object,NA,n/a,David Farrer,Frank Kermode,Stephen Spender,Dame Rebecca West,W. L. Webb,NA,NA,no
1969,Iris Murdoch,The Nice and the Good,NA,n/a,David Farrer,Frank Kermode,Stephen Spender,Dame Rebecca West,W. L. Webb,NA,NA,no
1969,Muriel Spark,The Public Image,NA,n/a,David Farrer,Frank Kermode,Stephen Spender,Dame Rebecca West,W. L. Webb,NA,NA,no
1969,Gordon Williams,From Scenes Like These,NA,n/a,David Farrer,Frank Kermode,Stephen Spender,Dame Rebecca West,W. L. Webb,NA,NA,no
1970,Bernice Rubens,The Elected Member,Eyre & Spottiswoode,n/a,Antonia Fraser,Ross Higgins,Richard Hoggart,Dame Rebecca West,David Holloway,Novel,United Kingdom,yes
1970,A. L. Barker,John Brown's Body,NA,n/a,Antonia Fraser,Ross Higgins,Richard Hoggart,Dame Rebecca West,David Holloway,NA,NA,no
1970,Elizabeth Bowen,Eva Trout,NA,n/a,Antonia Fraser,Ross Higgins,Richard Hoggart,Dame Rebecca West,David Holloway,NA,NA,no
1970,Iris Murdoch,Bruno's Dream,NA,n/a,Antonia Fraser,Ross Higgins,Richard Hoggart,Dame Rebecca West,David Holloway,NA,NA,no
1970,William Trevor,Mrs Eckdorf in O'Neill's Hotel,NA,n/a,Antonia Fraser,Ross Higgins,Richard Hoggart,Dame Rebecca West,David Holloway,NA,NA,no
1970,Terence Wheeler,The Conjunction,NA,n/a,Antonia Fraser,Ross Higgins,Richard Hoggart,Dame Rebecca West,David Holloway,NA,NA,no
1971,V. S. Naipaul,In a Free State,Deutsch,John Gross,Saul Bellow,John Fowles,Lady Antonia Fraser,Philip Toynbee,NA,Novel,United KingdomTrinidad and Tobago,yes
1971,Thomas Kilroy,The Big Chapel,Faber & Faber,John Gross,Saul Bellow,John Fowles,Lady Antonia Fraser,Philip Toynbee,NA,NA,NA,no
1971,Doris Lessing,Briefing for a Descent into Hell,Jonathan Cape,John Gross,Saul Bellow,John Fowles,Lady Antonia Fraser,Philip Toynbee,NA,NA,NA,no
1971,Mordecai Richler,St. Urbain's Horseman,Weidenfeld & Nicolson,John Gross,Saul Bellow,John Fowles,Lady Antonia Fraser,Philip Toynbee,NA,NA,NA,no
1971,Derek Robinson,Goshawk Squadron,Heinemann,John Gross,Saul Bellow,John Fowles,Lady Antonia Fraser,Philip Toynbee,NA,NA,NA,no
1971,Elizabeth Taylor,Mrs. Palfrey at the Claremont,Chatto & Windus,John Gross,Saul Bellow,John Fowles,Lady Antonia Fraser,Philip Toynbee,NA,NA,NA,no
1972,John Berger,G.,Weidenfeld & Nicolson,Cyril Connolly,George Steiner,Elizabeth Bowen,NA,NA,NA,Experimental novel,United Kingdom,yes
1972,Susan Hill,The Bird of Night,Hamish Hamilton,Cyril Connolly,George Steiner,Elizabeth Bowen,NA,NA,NA,NA,NA,no
1972,Thomas Keneally,The Chant of Jimmie Blacksmith,Angus & Robertson,Cyril Connolly,George Steiner,Elizabeth Bowen,NA,NA,NA,NA,NA,no
1972,David Storey,Pasmore,Longman,Cyril Connolly,George Steiner,Elizabeth Bowen,NA,NA,NA,NA,NA,no
1973,J. G. Farrell,The Siege of Krishnapur,Weidenfeld & Nicolson,Karl Miller,Edna O'Brien,Mary McCarthy,NA,NA,NA,Novel,United KingdomIreland,yes
1973,Beryl Bainbridge,The Dressmaker,Duckworth,Karl Miller,Edna O'Brien,Mary McCarthy,NA,NA,NA,NA,NA,no
1973,Elizabeth Mavor,The Green Equinox,Michael Joseph,Karl Miller,Edna O'Brien,Mary McCarthy,NA,NA,NA,NA,NA,no
1973,Iris Murdoch,The Black Prince,Chatto & Windus,Karl Miller,Edna O'Brien,Mary McCarthy,NA,NA,NA,NA,NA,no
1974,Nadine Gordimer,The Conservationist,Jonathan Cape,Ion Trewin,A. S. Byatt,Elizabeth Jane Howard,NA,NA,NA,Novel,South Africa,yes
1974,Stanley Middleton,Holiday,Hutchinson,Ion Trewin,A. S. Byatt,Elizabeth Jane Howard,NA,NA,NA,Novel,United Kingdom,yes
1974,Kingsley Amis,Ending Up,Jonathan Cape,Ion Trewin,A. S. Byatt,Elizabeth Jane Howard,NA,NA,NA,NA,NA,no
1974,Beryl Bainbridge,The Bottle Factory Outing,Duckworth,Ion Trewin,A. S. Byatt,Elizabeth Jane Howard,NA,NA,NA,NA,NA,no
1974,C. P. Snow,In Their Wisdom,Macmillan,Ion Trewin,A. S. Byatt,Elizabeth Jane Howard,NA,NA,NA,NA,NA,no
1975,Ruth Prawer Jhabvala,Heat and Dust,John Murray,Angus Wilson,Peter Ackroyd,Susan Hill,Roy Fuller,NA,NA,Historical novel,United KingdomGermany,yes
1975,Thomas Keneally,Gossip from the Forest,Collins,Angus Wilson,Peter Ackroyd,Susan Hill,Roy Fuller,NA,NA,NA,NA,no
1976,David Storey,Saville,Jonathan Cape,Walter Allen,Mary Wilson,Francis King,NA,NA,NA,Novel,United Kingdom,yes
1976,André Brink,An Instant in the Wind,W. H. Allen,Walter Allen,Mary Wilson,Francis King,NA,NA,NA,NA,NA,no
1976,R. C. Hutchinson,Rising,Michael Joseph,Walter Allen,Mary Wilson,Francis King,NA,NA,NA,NA,NA,no
