number,name,type1,type2,total,hp,attack,defense,sp_atk,sp_def,speed,legendary,generation,image_url
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/bulbasaur.png
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,FALSE,1,https://img.pokemondb.net/sprites/home/normal/ivysaur.png
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,FALSE,1,https://img.pokemondb.net/sprites/home/normal/venusaur.png
3,Venusaur Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,FALSE,1,https://img.pokemondb.net/sprites/home/normal/venusaur-mega-venusaur.png
4,Charmander,Fire,NA,309,39,52,43,60,50,65,FALSE,1,https://img.pokemondb.net/sprites/home/normal/charmander.png
5,Charmeleon,Fire,NA,405,58,64,58,80,65,80,FALSE,1,https://img.pokemondb.net/sprites/home/normal/charmeleon.png
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/charizard.png
6,Charizard Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/charizard-mega-charizard-x.png
6,Charizard Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,FALSE,1,https://img.pokemondb.net/sprites/home/normal/charizard-mega-charizard-y.png
7,Squirtle,Water,NA,314,44,48,65,50,64,43,FALSE,1,https://img.pokemondb.net/sprites/home/normal/squirtle.png
8,Wartortle,Water,NA,405,59,63,80,65,80,58,FALSE,1,https://img.pokemondb.net/sprites/home/normal/wartortle.png
9,Blastoise,Water,NA,530,79,83,100,85,105,78,FALSE,1,https://img.pokemondb.net/sprites/home/normal/blastoise.png
9,Blastoise Mega Blastoise,Water,NA,630,79,103,120,135,115,78,FALSE,1,https://img.pokemondb.net/sprites/home/normal/blastoise-mega-blastoise.png
10,Caterpie,Bug,NA,195,45,30,35,20,20,45,FALSE,1,https://img.pokemondb.net/sprites/home/normal/caterpie.png
11,Metapod,Bug,NA,205,50,20,55,25,25,30,FALSE,1,https://img.pokemondb.net/sprites/home/normal/metapod.png
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,FALSE,1,https://img.pokemondb.net/sprites/home/normal/butterfree.png
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,FALSE,1,https://img.pokemondb.net/sprites/home/normal/weedle.png
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,FALSE,1,https://img.pokemondb.net/sprites/home/normal/kakuna.png
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,FALSE,1,https://img.pokemondb.net/sprites/home/normal/beedrill.png
15,Beedrill Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,FALSE,1,https://img.pokemondb.net/sprites/home/normal/beedrill-mega-beedrill.png
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,FALSE,1,https://img.pokemondb.net/sprites/home/normal/pidgey.png
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,FALSE,1,https://img.pokemondb.net/sprites/home/normal/pidgeotto.png
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,FALSE,1,https://img.pokemondb.net/sprites/home/normal/pidgeot.png
18,Pidgeot Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,FALSE,1,https://img.pokemondb.net/sprites/home/normal/pidgeot-mega-pidgeot.png
19,Rattata,Normal,NA,253,30,56,35,25,35,72,FALSE,1,https://img.pokemondb.net/sprites/home/normal/rattata.png
19,Rattata Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72,FALSE,1,https://img.pokemondb.net/sprites/home/normal/rattata-alolan-rattata.png
20,Raticate,Normal,NA,413,55,81,60,50,70,97,FALSE,1,https://img.pokemondb.net/sprites/home/normal/raticate.png
