team,year,competitive_apps,competitive_goals,friendly_apps,friendly_goals,total_apps,total_goals
Portugal U15,2001,2,1,7,6,9,7
Portugal U17,2001,NA,NA,3,2,3,2
Portugal U17,2002,4,3,0,0,4,3
Portugal U20,2003,NA,NA,5,1,5,1
Portugal U21,2002,0,0,1,1,1,1
Portugal U21,2003,7,2,2,0,9,2
Portugal U23,2004,2,1,1,1,3,2
Portugal,2003,NA,NA,2,0,2,0
Portugal,2004,11,7,5,0,16,7
Portugal,2005,7,2,4,0,11,2
Portugal,2006,10,4,4,2,14,6
Portugal,2007,9,5,1,0,10,5
Portugal,2008,5,1,3,0,8,1
Portugal,2009,5,0,2,1,7,1
Portugal,2010,6,3,5,0,11,3
Portugal,2011,6,5,2,2,8,7
Portugal,2012,9,4,4,1,13,5
Portugal,2013,6,7,3,3,9,10
Portugal,2014,5,3,4,2,9,5
Portugal,2015,4,3,1,0,5,3
Portugal,2016,10,10,3,3,13,13
Portugal,2017,10,10,1,1,11,11
Portugal,2018,4,4,3,2,7,6
Portugal,2019,10,14,NA,NA,10,14
Portugal,2020,4,2,2,1,6,3
Portugal,2021,7,6,2,1,9,7
